"","SoV_m","SoV_r","SoV_i","Relief","XGBoost","Boruta","adaptive Lasso"
"1",0,2.44948974278318,0,9.9498743710662,6,4,0
"2",1.73205080756888,1.4142135623731,1.4142135623731,13.6381816969859,6.08276253029822,4.58257569495584,0
"3",1.4142135623731,1.73205080756888,1.4142135623731,10.5830052442584,6,4.58257569495584,0
"4",0,1.73205080756888,0,8.12403840463596,6.08276253029822,3.87298334620742,0
"5",2,1.73205080756888,2,11.2694276695846,9.21954445729289,3.46410161513775,0
"6",1,0,0,10.7238052947636,6,4,0
"7",2,3.74165738677394,2.64575131106459,9.21954445729289,6.08276253029822,3.60555127546399,0
"8",1,1.4142135623731,1.4142135623731,8.18535277187245,6.08276253029822,4,0
"9",0,1.4142135623731,1.4142135623731,9,6.08276253029822,4,0
"10",0,0,0,9.69535971483266,6,4,0
"11",2,2,2,10.8627804912002,6.08276253029822,4.58257569495584,0
"12",1,0,0,10.0498756211209,6.32455532033676,4,0
"13",0,2,0,7.87400787401181,6.16441400296898,4,0
"14",2,1.73205080756888,1.73205080756888,8.36660026534076,6,4,0
"15",1,1.4142135623731,0,9.8488578017961,6.08276253029822,4.58257569495584,0
"16",0,1.4142135623731,0,11.5325625946708,6.08276253029822,3.60555127546399,0
"17",0,0,0,10.3440804327886,9.2736184954957,4,0
"18",1.73205080756888,1,1,9.48683298050514,6.2449979983984,4,0
"19",2,3.74165738677394,1.73205080756888,8.48528137423857,6.48074069840786,5.29150262212918,0
"20",2,2,1.73205080756888,14.1067359796659,6.16441400296898,2.64575131106459,0
"21",0,1.4142135623731,0,10.4880884817015,0,4.58257569495584,0
"22",1.73205080756888,2.44948974278318,1.4142135623731,7.34846922834953,9.21954445729289,4.58257569495584,0
"23",1.73205080756888,0,1.73205080756888,10.295630140987,6.08276253029822,4,0
"24",0,0,0,9.9498743710662,6.16441400296898,4.58257569495584,0
"25",1.73205080756888,2.44948974278318,1.4142135623731,9.74679434480896,6.08276253029822,3.60555127546399,0
"26",0,1.73205080756888,1.4142135623731,9.8488578017961,6.08276253029822,4.58257569495584,0
"27",2,1.73205080756888,2,9.32737905308882,0,3.16227766016838,0
"28",2,2,1.73205080756888,13.0384048104053,6.08276253029822,3.60555127546399,0
"29",1.4142135623731,1.4142135623731,1.73205080756888,11.6189500386223,6.08276253029822,3.16227766016838,0
"30",0,1,0,7.34846922834953,6,4,0
"31",1,0,0,9.48683298050514,6.16441400296898,4.58257569495584,0
"32",0,2.44948974278318,1.4142135623731,10.295630140987,6.08276253029822,3.87298334620742,0
"33",1.73205080756888,1,1,11.9582607431014,6.08276253029822,4,0
"34",1.73205080756888,1.4142135623731,1.4142135623731,11.4455231422596,0,3.60555127546399,0
"35",1,1.4142135623731,0,8.18535277187245,6.08276253029822,3.3166247903554,0
